index,y_pred
1569,0.24977992
1344,0.98098546
1429,0.11005014
896,0.42104545
101,0.9818964
605,0.0745366
829,0.17080547
116,0.11140943
837,0.7216736
1466,0.26521447
93,0.970403
497,0.16768031
351,0.2649843
579,0.08593664
1790,0.13066006
1543,0.0043547116
1066,0.12642649
1910,0.19550152
1307,0.17776786
102,0.3394516
144,0.1406853
268,0.35503697
1570,0.11613593
1692,0.18181759
146,0.43361902
1512,0.2077636
1611,0.959144
1430,0.977935
379,0.9946049
449,0.410317
1092,0.99912506
353,0.008566488
1970,0.22327301
1467,0.44636437
527,0.2987406
1959,0.33787572
61,0.0743747
1509,0.123762906
549,0.006978256
178,0.012154387
1213,0.0218639
1968,0.00664878
237,0.06579035
701,0.94813913
1896,0.9593154
1536,0.16036104
813,0.30587268
734,0.9777478
751,0.93957037
399,0.37311995
354,0.1543514
1072,0.0277897
951,0.9906854
619,0.73057854
554,0.18988732
31,0.0017949254
1777,0.17826533
1318,0.8989052
1685,0.17751905
825,0.18123065
394,0.13066006
1203,0.10375905
1410,0.053308666
1603,0.07559668
729,0.3450466
1051,0.04502533
675,0.18921034
1306,0.22601037
223,0.22515693
1413,0.15849616
1435,0.063574106
1058,0.042892024
76,0.16135515
550,0.4213213
358,0.18012662
686,0.9884744
1891,0.24146889
135,0.12687486
1617,0.21917817
692,0.0044289585
241,0.9661195
1655,0.0036579536
384,0.44023213
1064,0.1648995
113,0.08854591
798,0.12917027
512,0.15822302
615,0.01766144
888,0.07807611
111,0.1306646
1403,0.32343546
1494,0.015543501
544,0.020244956
1714,0.2897695
24,0.99912506
1650,0.28399333
882,0.2925667
230,0.24719653
381,0.1648995
1286,0.16584784
312,0.5551286
388,0.18712777
1497,0.35061786
1946,0.8587332
1861,0.446307
1837,0.21736953
114,0.25378817
348,0.7282262
1694,0.010901597
564,0.07781581
486,0.6185388
1664,0.02836719
1757,0.36637992
946,0.9849001
668,0.14220306
711,0.7608195
12,0.2420049
1706,0.35061786
1925,0.025050204
255,0.9906854
1702,0.6199335
674,0.09422537
1879,0.17689185
1544,0.030059187
724,0.026025696
1928,0.9979006
224,0.109838925
1153,0.15849616
513,0.09695404
863,0.30877808
845,0.33624086
1303,0.11140943
285,0.47066683
1513,0.98766077
1305,0.1085127
314,0.97024876
849,0.45714062
866,0.8626131
189,0.97352624
88,0.17143503
180,0.07537154
1643,0.12189287
1382,0.90042657
1747,0.989085
336,0.0512168
1432,0.17559183
1259,0.35061786
171,0.21938246
1888,0.12627842
71,0.07537154
1289,0.32567298
1681,0.26102582
970,0.68020165
1406,0.5511542
1600,0.0036260139
860,0.2824746
341,0.24559863
103,0.97024876
1559,0.1037764
385,0.25103423
910,0.45714062
768,0.9906854
370,0.17214173
1273,0.2607946
1581,0.62071586
1215,0.9870204
1459,0.98360634
79,0.16741572
760,0.5320427
865,0.97783583
1518,0.22102939
1230,0.99833184
20,0.15715809
1448,0.51265484
1338,0.9841151
921,0.022231977
606,0.2476533
117,0.010901597
1873,0.11595552
403,0.07065696
1801,0.16567574
1561,0.22506422
474,0.26524928
568,0.37311995
408,0.012287249
1607,0.0074442104
806,0.23439647
1849,0.18030594
376,0.177207
1904,0.47971505
1133,0.19346152
1282,0.8913654
1229,0.25203568
1499,0.18439493
365,0.82778543
988,0.52062184
1713,0.18942684
455,0.49490348
1139,0.14209296
1477,0.25103423
303,0.008566488
234,0.38210967
290,0.25711557
1537,0.22327301
383,0.18402277
67,0.9891856
1120,0.0017949254
604,0.011441809
1324,0.81796557
1243,0.85244817
1117,0.26046914
447,0.18262412
816,0.51800936
364,0.095896795
620,0.22506915
900,0.13379323
1003,0.14921091
153,0.10719954
1696,0.38797933
307,0.045203324
1076,0.9768148
438,0.24258357
767,0.006873539
591,0.08884395
1090,0.22271521
1809,0.003896364
643,0.16840062
1826,0.17658827
372,0.046499226
614,0.16767086
1903,0.5757385
1663,0.1126104
1411,0.1114969
1388,0.060094744
612,0.5700934
1043,0.06579035
1481,0.35503697
1093,0.99682754
134,0.4379972
1111,0.05376076
1562,0.18402277
699,0.2632092
1503,0.22327301
1951,0.24964063
1548,0.81446415
282,0.9732091
1577,0.002434045
1729,0.83530647
1530,0.1533033
1414,0.09217328
239,0.360218
1260,0.20817004
498,0.19289765
1718,0.09217328
1618,0.0020149758
1982,0.98506933
1780,0.02815706
1620,0.14305063
276,0.13540025
648,0.18942684
884,0.96198463
504,0.22327301
597,0.39577568
1660,0.1648995
1021,0.13066006
1040,0.07688946
1565,0.32567298
1228,0.16183595
1385,0.23345995
1745,0.3876616
316,0.30959222
112,0.3012692
954,0.11664303
439,0.2476533
650,0.9410633
1662,0.25332263
1109,0.88307893
416,0.950687
173,0.8564398
1465,0.08071516
719,0.48028612
1697,0.13974026
940,0.992668
501,0.0756467
1934,0.57319534
1027,0.054022323
1680,0.18730894
10,0.24155083
1960,0.0043588732
1534,0.5485368
1157,0.26046914
1425,0.0982513
137,0.39823064
1727,0.14580709
952,0.98766077
30,0.36654186
873,0.034632005
560,0.9732204
1613,0.2542682
132,0.14580709
1893,0.5405978
773,0.089301944
752,0.33787572
1798,0.98098546
183,0.39238584
1806,0.110284686
108,0.20169562
1441,0.010309735
583,0.18262412
1127,0.16926195
1756,0.11364077
602,0.9872509
1107,0.97024876
1208,0.22008812
1266,0.6907701
765,0.019348867
980,0.0027471832
1233,0.14312342
654,0.56327564
627,0.07398502
1363,0.15039513
956,0.89776593
1870,0.98098546
1553,0.9901624
1146,0.16567574
405,0.2420049
1800,0.07220891
1428,0.950064
1814,0.22817442
1193,0.14354782
592,0.98648053
1744,0.45881498
152,0.16768031
1940,0.9849001
698,0.9627283
878,0.13429177
1880,0.29684326
1426,0.06339393
746,0.4539971
669,0.11229787
433,0.14580709
1625,0.01766144
