id,price
7469,32489.479
7470,17900.078
7471,35089.3
7472,16145.665
7473,15117.3125
7474,23569.818
7475,29856.686
7476,14394.131
7477,30283.426
7478,46879.242
7479,83884.16
7480,30332.807
7481,10971.954
7482,9376.353
7483,31150.703
7484,34844.207
7485,17458.086
7486,15942.352
7487,11756.6045
7488,64699.89
7489,19485.607
7490,45555.426
7491,23886.562
7492,17363.045
7493,15652.941
7494,55798.637
7495,10592.979
7496,27184.926
7497,42456.9
7498,9783.637
7499,16935.691
7500,20919.115
7501,23070.795
7502,8452.949
7503,23097.145
7504,31955.445
7505,20029.936
7506,22063.443
7507,23471.56
7508,16801.203
7509,15815.814
7510,20678.457
7511,17835.928
7512,11989.726
7513,24485.625
7514,23795.443
7515,27753.71
7516,18878.652
7517,16393.22
7518,22624.54
7519,18889.951
7520,18559.412
7521,10677.13
7522,48408.77
7523,20667.127
7524,13754.942
7525,21992.828
7526,22681.596
7527,16587.79
7528,12293.052
7529,32014.002
7530,12866.208
7531,25774.098
7532,52573.527
7533,36758.4
7534,20471.21
7535,25433.29
7536,19701.748
7537,26948.951
7538,13457.1045
7539,21248.002
7540,14521.052
7541,22929.168
7542,31280.043
7543,51605.703
7544,25015.877
7545,16745.06
7546,37458.13
7547,35481.57
7548,39754.426
7549,28815.318
7550,21612.645
7551,6796.197
7552,22408.928
7553,22243.633
7554,38272.863
7555,33614.543
7556,14695.618
7557,22992.65
7558,20762.166
7559,8639.607
7560,24044.84
7561,41129.094
7562,27458.668
7563,14645.818
7564,9882.815
7565,14654.9375
7566,13890.599
7567,13210.963
7568,16757.363
7569,23174.916
7570,34649.047
7571,46708.316
7572,18169.537
7573,15358.845
7574,11268.469
7575,23590.834
7576,24812.072
7577,33022.918
7578,13239.512
7579,29508.598
7580,13905.048
7581,77466.75
7582,22759.729
7583,17273.965
7584,21600.62
7585,31476.158
7586,20541.709
7587,33187.957
7588,39667.785
7589,113117.734
7590,20367.896
7591,22905.129
7592,17906.639
7593,14713.446
7594,15211.53
7595,9783.637
7596,52817.176
7597,11913.76
7598,14784.081
7599,19725.031
7600,10869.933
7601,37947.312
7602,19323.814
7603,17679.85
7604,17856.344
7605,24965.6
7606,32093.6
7607,4008.4182
7608,20527.621
7609,19819.902
7610,7237.4473
7611,22593.824
7612,21042.158
7613,30020.525
7614,23226.285
7615,11636.479
7616,21482.564
7617,15521.115
7618,35090.742
7619,31853.326
7620,32688.422
7621,38741.746
7622,27539.428
7623,11445.691
7624,34552.69
7625,12620.167
7626,26715.818
7627,12958.627
7628,19158.236
7629,16102.847
7630,16950.709
7631,20487.133
7632,56575.19
7633,45668.477
7634,15657.555
7635,9656.537
7636,21170.012
7637,12798.427
7638,31028.207
7639,20727.459
7640,17567.844
7641,13610.581
7642,17052.73
7643,10006.996
7644,13595.971
7645,32794.383
7646,18401.805
7647,11405.228
7648,12263.35
7649,19608.486
7650,13012.027
7651,14561.222
7652,17443.902
7653,22351.387
7654,28688.705
7655,13470.418
7656,21734.52
7657,11327.628
7658,10281.714
7659,15085.507
7660,49709.164
7661,27949.395
7662,39704.395
7663,35640.305
7664,29400.244
7665,7323.3193
7666,20712.553
7667,12881.943
7668,28464.57
7669,18008.611
7670,22507.064
7671,12850.224
7672,23842.117
7673,47382.918
7674,8350.619
7675,16238.976
7676,24724.645
7677,13504.611
7678,24390.375
7679,33287.77
7680,27234.598
7681,30585.193
7682,51161.98
7683,12627.871
7684,12960.559
7685,10506.729
7686,55423.324
7687,33416.508
7688,27012.236
7689,26713.137
7690,17557.45
7691,10987.253
7692,15117.3125
7693,21265.963
7694,48015.812
7695,4602.6973
7696,30227.605
7697,27772.672
7698,10631.209
7699,52571.324
7700,10199.647
7701,24715.248
7702,29753.68
7703,22360.049
7704,28084.26
7705,19459.94
7706,60890.227
7707,43225.23
7708,35221.46
7709,11807.773
7710,15575.474
7711,32155.344
7712,27874.049
7713,15986.109
7714,37806.582
7715,38506.52
7716,8861.653
7717,30343.818
7718,19767.643
7719,27030.486
7720,21442.98
7721,34421.516
7722,27561.836
7723,11690.31
7724,14091.185
7725,29800.635
7726,23227.744
7727,30245.195
7728,10919.763
7729,16403.13
7730,30427.562
7731,16686.668
7732,12675.052
7733,30367.129
7734,35061.082
7735,11731.808
7736,16238.295
7737,47720.223
7738,13374.083
7739,13624.938
7740,33042.082
7741,43024.95
7742,18642.791
7743,59002.59
7744,50526.746
7745,13308.271
7746,20357.596
7747,50482.965
7748,21297.744
7749,20238.344
7750,57622.77
7751,16453.842
7752,34574.62
7753,10801.885
7754,30348.988
7755,18871.146
7756,20057.426
